name,party,fv15,fv19,facebook,twitter,instagram,snapchat
Yildiz Akdogan,Socialdemokraterne,1,,YildizAkdoganS,YildizAkdogan,yildiz_akdogan,
Christine Antorini,Socialdemokraterne,1,,antorini,Antorini123,antorini123,
Trine Bramsen,Socialdemokraterne,1,1,TrineBramsen,Trinebramsen,,
Kirsten Brosbøl,Socialdemokraterne,1,,kirsten.brosbol,Kirstenbrosbol,kirsten.brosbol,
Morten Bødskov,Socialdemokraterne,1,1,mortenbodskov,mfMorten,,
Erik Christensen,Socialdemokraterne,1,,erik.christensen.186,,,
Lennart Damsbo-Andersen,Socialdemokraterne,1,1,damsboandersen,,,
Kaare Dybvad,Socialdemokraterne,1,1,kaaredybvad,KaareDybvad,kaaredybvad,
Benny Engelbrecht,Socialdemokraterne,1,1,BennyEngelbrecht,BennyEngelbrech,bennyengelbrecht,
Mette Frederiksen,Socialdemokraterne,1,1,mettefrederiksen.dk,,mette,
Mette Gjerskov,Socialdemokraterne,1,1,mettegjerskov,MetteGjerskov,,
Karin Gaardsted,Socialdemokraterne,1,,karin.gaardsted,KarinGaardsted,karingaardsted,
Ane Halsboe-Jørgensen,Socialdemokraterne,1,1,stemhalsboe,AneHalsboe,,
Orla Hav,Socialdemokraterne,1,1,havorla,HavOrla,havorla,
Magnus Heunicke,Socialdemokraterne,1,1,heunicke,Heunicke,magnusheunicke,heunicke
Nick Hækkerup,Socialdemokraterne,1,1,nickhaekkerup,NHaekkerup,,
Daniel Toft Jakobsen,Socialdemokraterne,1,1,danieltoftjakobsen,ToftJakobsen,,
Leif Lahn Jensen,Socialdemokraterne,1,1,LeifLahn,LahnLeif,,
Mogens Jensen,Socialdemokraterne,1,1,mogensjensen,MogensJensenS,mogensjensen,
Thomas Jensen,Socialdemokraterne,1,1,thomasjensensilkeborg,MFThomasJensen,tjsilkeborg,
Jens Joel,Socialdemokraterne,1,1,jensjoel,Jens_Joel,jensjoel,
Jan Johansen,Socialdemokraterne,1,1,janjohansensocialdemokrat,janjohansen16,janjohansenfolketinget,
Dan Jørgensen,Socialdemokraterne,1,1,danjorgensen,DanJoergensen,danj.socialdemokratiet,
Karen J. Klint,Socialdemokraterne,1,,karenjklint,,,
Simon Kollerup,Socialdemokraterne,1,1,simonkollerup,simonkollerup,simonkollerup,s-kollerup
Astrid Krag,Socialdemokraterne,1,1,astrid.krag,Astridkrag,Astridkrag,astridkrag
Henrik Dam Kristensen,Socialdemokraterne,1,1,henrikdamkristensen,,,
Rasmus Horn Langhoff,Socialdemokraterne,1,1,rasmuslanghoff.dk,rasmushorn,rasmuslanghoff,
Henrik Sass Larsen,Socialdemokraterne,1,,HenrikSassLarsen,SosseSass,,
Bjarne Laustsen,Socialdemokraterne,1,1,b.laustsen,Bjarne_Laustsen,,
Annette Lind,Socialdemokraterne,1,1,Annette-Lind-879906758810052,annette_lind,lind_annette,annettelind69
Mogens Lykketoft,Socialdemokraterne,1,,lykketoft,lykketoft,,
Christian Rabjerg Madsen,Socialdemokraterne,1,1,christian.rabjerg,RabjergMadsen,christian.rabjerg,
Flemming Møller Mortensen,Socialdemokraterne,1,1,FlemmingMMortensen,FlemmingMM,,
Maja Panduro,Socialdemokraterne,1,,majapanduro,PanduroMaja,majapanduro_,
Jesper Petersen,Socialdemokraterne,1,1,MFJesper,Jesper_Pet,,
Rasmus Prehn,Socialdemokraterne,1,1,rasmus.prehn,RasmusPrehn,rasmusprehn,rasmus-prehn
Lars Aslan Rasmussen,Socialdemokraterne,1,1,profile.php?id=607729421,lars_aslan,,
Troels Ravn,Socialdemokraterne,1,1,Troels.Ravn.A,RavnTroels,,
Mette Reissmann,Socialdemokraterne,1,,mettereissmann,mettereissmann,mette.reissmann,
Pernille Rosenkrantz-Theil,Socialdemokraterne,1,1,pernillerosenkrantz,RosenkrantzT,sossepernille,
Julie Skovsby,Socialdemokraterne,1,1,julieskovsby,JulieSkovsby,julieskovsby,julieskovsb
Mattias Tesfaye,Socialdemokraterne,1,1,stemtesfaye,mattiastesfaye,mattiastesfaye,
Peter Hummelgaard Thomsen,Socialdemokraterne,1,1,phummelgaard,PHummelgaard,peterhummelgaard,
Lea Wermelin,Socialdemokraterne,1,1,Lea-Wermelin-1563091823994393,LeaWermelin,leawermelin,
Nicolai Wammen,Socialdemokraterne,1,1,nicolaiwammen,NWammen,,
Andreas Steenberg,Radikale Venstre,1,,andreas.steenberg.1,a_steenberg,andreas.steenberg,
Ida Auken,Radikale Venstre,1,,ida.auken,IdaAuken,Idaauken,Ida_auken
Lotte Rod,Radikale Venstre,1,,lotterod,LotteRod,lotterod1,
Sofie Carsten Nielsen,Radikale Venstre,1,,sofiecarstennielsen,sofiecn,sofiecarstennielsen,radikaleSofieCN
Marianne Jelved,Radikale Venstre,1,,jelved,mariannejelved,,
Martin Lidegaard,Radikale Venstre,1,,martin.lidegaard,martinlidegaard,,
Morten Østergaard,Radikale Venstre,1,,oestergaard,oestergaard,mortenoestergaard,
Zenia Stampe,Radikale Venstre,1,,zeniastampe,zeniastampe,zenia.stampe,zstampe1
Brian Mikkelsen,Konservative,1,,mikkelsen.brian,BrianMikkelsenC,mikkelsen.brian,
Mai Mercado,Konservative,1,,maimercado.dk,_MaiMercado,maimercado_dk,
Mette Abildgaard,Konservative,1,,abildgaard.mette,metteabildgaard,mette.abildgaard,
Naser Khader,Konservative,1,,naserkhaderdk,naserkhaderdk,,
Rasmus Jarlov,Konservative,1,,jarlov,RasmusJarlov,rasmus_jarlov,
Søren Pape Poulsen,Konservative,1,,SorenPapePoulsen,SorenPape,sorenpapepoulsen,
Holger K Nielsen,SF,1,,holgerk.nielsen.7?ref=page_internal,sfhoni,,
Jacob Mark,SF,1,,stemjacobmark,jacobmark_sf,jacobmarkfolketinget,stemjacobmark
Kirsten Normann Andersen,SF,1,,KirstenNormannAndersen,KirstenNormann,,
Karsten Hønge,SF,1,,karstenhoenge,khoenge,khoenge,
Lisbeth Bech Poulsen,SF,1,,lisbethbechpoulsen,LisbethBPoulsen,lisbethbp,
Trine Torp,SF,1,,sftrine,TrineTorp,torp71,
Pia Olsen Dyhr,SF,1,,pia.olsen.dyhr,PiaOlsen,piaolsendyhr,Piaolsendyhr
Anders Samuelsen,Liberal Alliance,1,,AndersSamuelsenLA,anderssamuelsen,anderssamuelsen1,laansa
Carsten Bach,Liberal Alliance,1,,carstenbachifolketinget,carstenbachft,,
Christina Egelund,Liberal Alliance,1,,stemegelund,ChristinaEgelun,christina_egelund,
Henrik Dahl,Liberal Alliance,1,,HenrikDahlLA,SociologenHD,denhenrikdahl,
Joachim B. Olsen,Liberal Alliance,1,,Joachim-B-Olsen-164752600281593,JoachimBOlsen,Joachim.olsen,
May-Britt Kattrup,Liberal Alliance,1,,mbkattrup,MayBrittKattrup,,
Laura Lindahl,Liberal Alliance,1,,politikerlauralindahl,lauralindahl,lauralindahl,lauralindahl
Merete Riisager,Liberal Alliance,1,,merete.riisager,MereteRiisager,mereteriisager,
Mette Bock,Liberal Alliance,1,,mette.bock.5,mettebock,,
Ole Birk Olesen,Liberal Alliance,1,,olebirkolesen,olebirkolesen,olebirkolesen,
Simon Emil Ammitzbøll,Liberal Alliance,1,,SimonEmil,SimonEmilAmmitz,simonemilammitzboell,la_simonemil
Villum Christensen,Liberal Alliance,1,,villum.christensen,VillumC,,
Leif Mikkelsen,Liberal Alliance,1,,leif.mikkelsen.524,mikkelsen_leif,,
Kristian Thulesen Dahl,Dansk Folkeparti,1,,Kristian-Thulesen-Dahl-531761723507375,,,
Pia Adelsteen,Dansk Folkeparti,1,,pia.adelsteen,PAdelsteen,,
Mikkel Dencker,Dansk Folkeparti,1,,MikkelDenckerMF,Mikkel_Dencker,,
Mette Hjermind Dencker,Dansk Folkeparti,1,,MetteHjermindDencker,dfmehd_mette,,
Merete Dea Larsen,Dansk Folkeparti,1,,merete.d.larsen,dea_merete,,
Marlene Harpsøe,Dansk Folkeparti,1,,marleneharpsoee,MarleneHARPSOEE,,
Karina Due,Dansk Folkeparti,1,,karina.due.1,Due2Karina,,
Jeppe Jakobsen,Dansk Folkeparti,1,,MFjeppejakobsen,MFjeppejakobsen,,
Hans Kristian Skibby,Dansk Folkeparti,1,,hans.skibby,BundgaardSkibby,,
Dorthe Ullemose,Dansk Folkeparti,1,,dortheullemosedf,DortheUllemose,,
Kim Christiansen,Dansk Folkeparti,1,,kim.christansen.9,DfkichKim,,
Martin Henriksen,Dansk Folkeparti,1,,Martin-Henriksen-1604502423155684,,,
Marie Krarup,Dansk Folkeparti,1,,marie.krarup,MarieKrarup,krarupmarie,
René Christensen,Dansk Folkeparti,1,,rene.christensen.5682,,,
Bent Bøgsted,Dansk Folkeparti,1,,profile.php?id=100005578331313,,,
Christian Langballe,Dansk Folkeparti,1,,christian.langballe.7,,,
Ib Poulsen,Dansk Folkeparti,1,,ib.poulsen3,,,
Lise Bech,Dansk Folkeparti,1,,Lise.Bech.DF,LiseBech,lise_bech,
Peter Kofod Poulsen,Dansk Folkeparti,1,,peterifolketinget,KofodPeter,peter_kofod_poulsen,
Peter Skaarup,Dansk Folkeparti,1,,skaarupdf,skaarup_df,peter_skaarup,
Pia Kjærsgaard,Dansk Folkeparti,1,,Pia-Kj%C3%A6rsgaard-33510214383,,,
Claus Kvist Hansen,Dansk Folkeparti,1,,ClausKvistHansen,ClausKvist_DF,,
Liselott Blixt,Dansk Folkeparti,1,,PolitikerLiselottblixt,Blixt22,liselottblixt,
Dennis Flydtkjær,Dansk Folkeparti,1,,DennisFlydtkjaer,flydtkjaer,,
Susanne Eilersen,Dansk Folkeparti,1,,Susanne-Eilersen-126751254065787,Eilersen_DF,,
Søren Espersen,Dansk Folkeparti,1,,sorenespersen,espersendf,,
Tilde Bork,Dansk Folkeparti,1,,TildeBork,TildeBork,,
Morten Marinus,Dansk Folkeparti,1,,StemMortenMarinus,MortenMarinus,,
Kenneth Kristensen Berth,Dansk Folkeparti,1,,kennethkristensenberth,Kristensenberth,,
Karina Adsbøl,Dansk Folkeparti,1,,Karina-Adsb%C3%B8l-1546433252297862,AdsbolAdsbl,karinaadsbol,
Karin Nødgaard,Dansk Folkeparti,1,,karinnodgaard,,,
Jan Rytkjær Callesen,Dansk Folkeparti,1,,callesenjan,,,
Jens Henrik Thulesen Dahl,Dansk Folkeparti,1,,jenshenrik.thulesendahl,JThulesen,,
Jan-Erik Messmann,Dansk Folkeparti,1,,janerik.messmann,,,
Pernille Bendixen,Dansk Folkeparti,1,,Pernille-Bendixen-615428585279108,BendixenPebe,pernille.bendixen,
Jakob Ellemann-Jensen,Venstre,1,,jakobellemann,JakobEllemann,,
Claus Hjort Frederiksen,Venstre,1,,ClausHjortFrederiksen,,,
Inger Støjberg,Venstre,1,,IngerStojberg,,,
Louise Schack Elholm,Venstre,1,,louise.elholm,LouiseElholm,,
Marcus Knuth,Venstre,1,,MarcusKnuthMF,,,
Michael Aastrup Jensen,Venstre,1,,michaelaastrup,michaelaastrup,michaelaastrupjensen,
Carl Holst,Venstre,1,,,CarlHolst,,
Peter Juel Jensen,Venstre,1,,peter.juel.jensen?fref=st,PeterJuelJensen,,
Preben Bang Henriksen,Venstre,1,,PrebenBangHenriksen,,,
Sophie Løhde,Venstre,1,,SophieLoehde,sophieloehde,,sophieloehde
Søren Gade,Venstre,1,,gadesoeren,,,
Kristian Pihl Lorentzen,Venstre,1,,kristian.p.lorentzen,kplorentzen,,
Søren Pind,Venstre,1,,vsorenpind,sorenpind,frihedsministeren,
Thomas Danielsen,Venstre,1,,Thomas-Danielsen-368634453338332,ThDanielsen,,
Torsten Schack Pedersen,Venstre,1,,tschackpedersen,Torstenschack,,
Troels Lund Poulsen,Venstre,1,,TroelsLundPoulsen,troelslundp,,
Lars Løkke Rasmussen,Venstre,1,,larsloekke,larsloekke,larsloekke,
Ellen Trane Nørby,Venstre,1,,ElleniFolketinget,EllenTraneNorby,ellentranenorby,
Peter Christensen,Venstre,1,,politiker.PC,,,
Karen Ellemann,Venstre,1,,karen.ellemann,EllemannKaren,karen.ellemann,
Ulla Tørnæs,Venstre,1,,ullatoernaes,Ulla_Tornaes,,
Kristian Jensen,Venstre,1,,kristianjensen.venstre,Kristian_Jensen,kristianjensenfm,
Lars Chr. Lilleholt,Venstre,1,,lilleholt,larsclilleholt,,
Karsten Lauritzen,Venstre,1,,stemlauritzen,StemLAURITZEN,karstenlauritzen,stemlauritzen
Jan E. Jørgensen,Venstre,1,,jan.e.joergensen,JanEJoergensen,jan_e_joergensen,
Erling Bonnesen,Venstre,1,,erling.bonnesen,ErlingBonnesen,,
Britt Bager,Venstre,1,,stembrittbager,brittbager,,
Jakob Engel-Schmidt,Venstre,1,,jakob.e.schmidt,engelschmidt,engelschmidt,engelschmidt
Esben Lunde Larsen,Venstre,1,,esbenlundelarsen,,,
Jacob Jensen,Venstre,1,,mfjacobjensen,jacobjensenMF,,
Eva Kjer Hansen,Venstre,1,,evakjerhansen,EvaKjerHansen,,
Hans Christian Schmidt,Venstre,1,,hans.c.schmidt.58,,,
Hans Andersen,Venstre,1,,hansandersen.venstre,HansAndersenV,,
Bertel Haarder,Venstre,1,,BertelHaarder,BHaarder,,
Jane Heitmann,Venstre,1,,jane.heitmann,JaneHeitmann,janeheitmann,
Anni Matthiesen,Venstre,1,,anni.matthiesen.3,AnniMatthiesen,,
Christian Juhl,Enhedslisten,1,,Chr.Juhl1,ChristianJuhl2,,
Henning Hyllested,Enhedslisten,1,,henning.hyllested,,,
Nikolaj Villumsen,Enhedslisten,1,,nikolaj.villumsen,nvillumsen,nikolajvillumsen,
Eva Flyvholm,Enhedslisten,1,,eva.flyvholm.enhedslisten,EvaFlyvholm,,
Pelle Dragsted,Enhedslisten,1,,PelleDragstedspolitikerprofil,pelledragsted,,
Maria Reumert Gjerding,Enhedslisten,1,,maria.gjerding,MariaGjerding,,
Finn Sørensen,Enhedslisten,1,,FinnSoerensenEL,elfinns,,
Pernille Skipper,Enhedslisten,1,,pernille.skipper.5,PSkipperEL,pernille_skipper,
Rune Lund,Enhedslisten,1,,runelund.dk,RuneLundEL,,
Stine Brix,Enhedslisten,1,,stinebrixel,smbrix,smbrix,
Søren Egge Rasmussen,Enhedslisten,1,,S%C3%B8ren-Egge-Rasmussen-947582238609972,SorenEggeRasmus,,
Søren Søndergaard,Enhedslisten,1,,S%C3%B8ren-S%C3%B8ndergaard-47908701568,,,
Johanne Schmidt-Nielsen,Enhedslisten,1,,johanneschmidt,,johanneschmidtnielsen,
Jakob Sølvhøj,Enhedslisten,1,,jakob.solvhoj,JakobSoelvhoej,,
Pernille Schnoor,Alternativet,1,,StemPernilleSchnoor,P_Schnoor,pernilleschnoor,
Rasmus Nordqvist,Alternativet,1,,rasmus.nordqvist,rasmusnordqvist,rasmusnordqvist,
René Gade,Alternativet,1,,,renegadedreng,,
Roger Matthisen,Alternativet,1,,Roger-Matthisen-54513516440,fightingheart,rogermatthisen,
Torsten Gejl,Alternativet,1,,torsten.gejl,TorstenGejl,torsten.gejl,
